iter	Passed	Remaining
177	265	1226
178	266	1220
179	266	1214
180	267	1208
181	267	1203
182	268	1197
183	268	1192
184	269	1186
185	269	1180
186	270	1175
187	271	1170
188	271	1164
189	271	1159
190	272	1153
191	272	1148
192	273	1142
193	273	1137
194	274	1131
195	274	1127
196	275	1122
197	275	1117
198	276	1112
199	276	1107
200	277	1103
201	278	1098
202	278	1093
203	279	1088
204	279	1084
205	279	1079
206	280	1074
207	280	1069
208	281	1064
209	281	1059
210	282	1055
211	282	1051
212	283	1046
213	283	1042
214	284	1038
215	284	1034
216	285	1030
217	286	1026
218	286	1022
219	287	1018
220	287	1014
221	288	1009
222	288	1005
223	289	1002
224	289	998
225	290	994
226	291	990
227	291	987
228	292	983
229	292	979
230	293	975
231	293	972
232	294	968
233	294	964
234	295	961
235	295	957
236	296	953
237	296	950
238	297	946
239	297	943
240	298	939
241	298	936
242	299	932
243	299	929
244	300	925
245	300	922
246	301	919
247	302	915
248	302	912
249	303	909
250	303	905
251	303	902
252	304	898
253	304	895
254	305	892
255	306	889
256	306	886
257	307	883
258	307	879
259	308	876
260	308	873
261	309	870
262	309	867
263	310	864
264	310	861
265	311	858
266	311	855
267	312	852
268	312	849
269	313	847
270	313	844
271	314	841
272	314	838
273	315	835
274	315	832
275	316	830
276	316	827
277	317	824
278	317	821
279	318	818
280	318	815
281	319	812
282	319	809
283	320	807
284	320	804
285	321	801
286	321	799
287	322	796
288	322	793
289	323	791
290	323	789
291	324	786
292	324	784
293	325	781
294	325	778
295	326	775
296	326	773
297	327	770
298	327	768
299	328	766
300	328	763
301	329	761
302	329	758
303	330	756
304	330	754
305	331	751
306	332	749
307	332	747
308	332	744
309	333	742
310	333	739
311	334	737
312	334	734
313	335	732
314	335	730
315	336	727
316	336	725
317	337	723
318	337	721
319	338	719
320	338	716
321	339	714
322	339	712
323	340	710
324	340	708
325	341	705
326	341	703
327	342	701
328	342	699
329	343	697
330	343	695
331	344	693
332	345	691
333	345	689
334	346	687
335	346	685
336	347	683
337	347	681
338	348	678
339	348	676
340	349	674
341	349	672
342	349	670
343	350	668
344	351	666
345	351	664
346	352	663
347	352	661
348	353	659
349	353	657
350	354	655
351	354	653
352	355	651
353	355	649
354	356	647
355	356	645
356	357	643
357	357	641
358	358	639
359	358	637
360	359	636
361	359	634
362	360	632
363	361	630
364	361	629
365	362	627
366	362	625
367	363	623
368	363	621
369	363	619
370	364	618
371	365	616
372	365	614
373	366	612
374	366	611
375	367	609
376	368	609
377	369	607
378	370	606
379	370	604
380	371	602
381	371	601
382	372	599
383	372	597
384	372	595
385	373	594
386	374	592
387	374	590
388	375	589
389	375	587
390	376	585
391	376	584
392	377	582
393	377	581
394	378	579
395	378	577
396	379	575
397	379	574
398	380	572
399	380	570
400	381	569
401	381	567
402	382	566
403	382	564
404	383	563
405	383	561
406	384	559
407	384	558
408	385	556
409	385	555
410	386	553
411	386	551
412	387	550
413	387	548
414	388	547
415	388	545
416	389	544
417	389	542
418	390	541
419	390	539
420	391	538
421	392	536
422	392	535
423	392	533
424	393	532
425	393	530
426	394	529
427	394	527
428	395	526
429	395	524
430	396	523
431	397	521
432	397	520
433	398	519
434	398	517
435	399	516
436	399	515
437	400	513
438	400	512
439	401	510
440	401	509
441	402	507
442	402	506
443	403	504
444	403	503
445	404	502
446	404	500
447	405	499
448	405	498
449	406	496
450	406	495
451	407	493
452	407	492
453	408	490
454	408	489
455	409	488
456	409	486
457	410	485
458	410	484
459	411	483
460	411	481
461	412	480
462	413	479
463	413	477
464	414	476
465	414	475
466	415	473
467	415	472
468	416	471
469	416	469
470	417	468
471	417	467
472	418	465
473	418	464
474	419	463
475	419	461
476	420	460
477	420	459
478	421	458
479	421	456
480	422	455
481	422	454
482	423	452
483	423	451
484	424	450
485	424	449
486	425	447
487	425	446
488	426	445
489	427	444
490	427	443
491	428	442
492	428	441
493	429	439
494	430	438
495	430	437
496	431	436
497	431	435
498	432	434
499	432	432
500	433	431
501	433	430
502	434	429
503	434	428
504	435	426
505	436	425
506	436	424
507	437	423
508	437	422
509	438	421
510	438	419
511	439	418
512	439	417
513	440	416
514	440	415
515	441	413
516	441	412
517	442	411
518	442	410
519	443	409
520	444	408
521	444	407
522	445	406
523	445	405
524	446	403
525	446	402
526	447	401
527	447	400
528	448	399
529	448	397
530	449	396
531	449	395
532	450	394
533	450	393
534	451	392
535	452	391
536	452	390
537	453	389
538	453	388
539	454	386
540	454	385
541	455	384
542	455	383
543	455	382
544	456	381
545	456	379
546	457	378
547	458	377
548	458	376
549	459	375
550	460	374
551	460	373
552	461	372
553	461	371
554	462	370
555	462	369
556	462	368
557	463	367
558	463	365
559	464	364
560	464	363
561	465	362
562	466	361
563	466	360
564	467	359
565	467	358
566	468	357
567	468	356
568	469	355
569	469	354
570	470	353
571	470	352
572	471	351
573	471	350
574	472	349
575	472	347
576	473	346
577	473	345
578	474	344
579	474	343
580	475	342
581	475	341
582	476	340
583	476	339
584	477	338
585	477	337
586	478	336
587	478	335
588	479	334
589	479	333
590	480	332
591	481	331
592	481	330
593	482	329
594	482	328
595	483	327
596	484	326
597	484	325
598	484	324
599	485	323
600	485	322
601	486	321
602	486	320
603	487	319
604	488	318
605	488	317
606	489	316
607	489	315
608	490	314
609	490	313
610	491	312
611	491	311
612	492	310
613	492	309
614	493	308
615	493	307
616	494	306
617	494	305
618	495	304
619	495	303
620	496	303
621	497	302
622	497	301
623	498	300
624	498	299
625	499	298
626	499	297
627	500	296
628	500	295
629	500	294
630	501	293
631	501	292
632	502	291
633	503	290
634	503	289
635	504	288
636	504	287
637	505	286
638	505	285
639	506	284
640	506	283
641	507	282
642	507	281
643	508	280
644	508	280
645	509	279
646	509	278
647	510	277
648	511	276
649	511	275
650	512	274
651	512	273
652	513	272
653	514	271
654	514	271
655	515	270
656	515	269
657	516	268
658	516	267
659	516	266
660	517	265
661	518	264
662	518	263
663	519	262
664	519	261
665	520	260
666	520	259
667	521	258
668	521	258
669	521	257
670	522	256
671	522	255
672	523	254
673	524	253
674	524	252
675	525	251
676	525	250
677	526	249
678	526	249
679	527	248
680	527	247
681	528	246
682	529	245
683	529	244
684	530	243
685	530	242
686	531	241
687	531	241
688	531	240
689	532	239
690	533	238
691	533	237
692	534	236
693	534	235
694	535	234
695	535	234
696	536	233
697	536	232
698	537	231
699	537	230
700	538	229
701	538	228
702	539	227
703	539	226
704	540	225
705	540	225
706	541	224
707	541	223
708	542	222
709	542	221
710	543	220
711	543	219
712	544	219
713	544	218
714	545	217
715	545	216
716	546	215
717	546	214
718	547	213
719	547	212
720	548	212
721	548	211
722	549	210
723	549	209
724	550	208
725	550	207
726	551	207
727	551	206
728	552	205
729	552	204
730	553	203
731	553	202
732	554	201
733	554	201
734	555	200
735	556	199
736	556	198
737	557	197
738	557	196
739	558	196
740	558	195
741	559	194
742	559	193
743	559	192
744	560	191
745	560	190
746	561	190
747	561	189
748	562	188
749	562	187
750	563	186
751	563	185
752	564	185
753	564	184
754	565	183
755	565	182
756	566	181
757	566	180
758	567	180
759	567	179
760	568	178
761	568	177
762	569	176
763	569	175
764	570	175
765	570	174
766	571	173
767	571	172
768	572	171
769	572	171
770	572	170
771	573	169
772	573	168
773	574	167
774	574	166
775	575	166
776	575	165
777	576	164
778	576	163
779	577	162
780	577	161
781	578	161
782	578	160
783	579	159
784	579	158
785	579	157
786	580	157
787	581	156
788	581	155
789	581	154
790	582	153
791	583	153
792	583	152
793	584	151
794	584	150
795	585	149
796	585	149
797	586	148
798	586	147
799	587	146
800	587	146
801	588	145
802	588	144
803	589	143
804	589	142
805	590	142
806	590	141
807	591	140
808	591	139
809	592	138
810	592	138
811	593	137
812	593	136
813	594	135
814	594	135
815	595	134
816	596	133
817	596	132
818	597	131
819	597	131
820	598	130
821	598	129
822	598	128
823	599	128
824	599	127
825	600	126
826	600	125
827	601	124
828	601	124
829	602	123
830	602	122
831	603	121
832	603	121
833	604	120
834	604	119
835	605	118
836	605	117
837	606	117
838	606	116
839	607	115
840	607	114
841	607	114
842	608	113
843	608	112
844	609	111
845	609	111
846	610	110
847	610	109
848	611	108
849	611	107
850	612	107
851	612	106
852	613	105
853	613	104
854	614	104
855	614	103
856	615	102
857	615	101
858	616	101
859	616	100
860	617	99
861	617	98
862	618	98
863	619	97
864	619	96
865	620	95
866	620	95
867	621	94
868	621	93
869	622	92
870	622	92
871	623	91
872	624	90
873	624	90
874	625	89
875	625	88
876	626	87
877	626	87
878	627	86
879	627	85
880	628	84
881	628	84
882	629	83
883	629	82
884	630	81
885	630	81
886	631	80
887	631	79
888	632	78
889	632	78
890	633	77
891	633	76
892	634	75
893	634	75
894	634	74
895	635	73
896	635	73
897	636	72
898	636	71
899	637	70
900	637	70
901	638	69
902	638	68
903	639	67
904	639	67
905	640	66
906	640	65
907	641	64
908	641	64
909	642	63
910	642	62
911	643	62
912	643	61
913	644	60
914	644	59
915	645	59
916	645	58
917	646	57
918	646	56
919	647	56
920	647	55
921	648	54
922	648	54
923	648	53
924	649	52
925	649	51
926	650	51
927	650	50
928	651	49
929	651	49
930	652	48
931	652	47
932	653	46
933	653	46
934	654	45
935	654	44
936	655	44
937	655	43
938	656	42
939	656	41
940	657	41
941	657	40
942	658	39
943	658	39
944	659	38
945	659	37
946	660	36
947	660	36
948	660	35
949	661	34
950	662	34
951	662	33
952	663	32
953	663	32
954	664	31
955	664	30
956	665	29
957	665	29
958	666	28
959	666	27
960	667	27
961	667	26
962	668	25
963	668	24
964	669	24
965	669	23
966	670	22
967	670	22
968	671	21
969	671	20
970	672	20
971	672	19
972	673	18
973	673	17
974	673	17
975	674	16
976	674	15
977	675	15
978	675	14
979	676	13
980	676	13
981	677	12
982	677	11
983	678	11
984	678	10
985	679	9
986	679	8
987	680	8
988	680	7
989	681	6
990	681	6
991	682	5
992	682	4
993	683	4
994	683	3
995	684	2
996	685	2
997	685	1
998	686	0
999	686	0
